delivery_id,region,promised_at,delivered_at,distance_miles,driver_hours,labor_cost_usd,fuel_cost_usd
D001,Brooklyn,2026-07-01T12:00:00Z,2026-07-01T11:52:00Z,8.4,0.9,21.60,4.20
D002,Queens,2026-07-01T12:30:00Z,2026-07-01T12:41:00Z,12.1,1.2,28.80,6.30
D003,Manhattan,2026-07-01T13:00:00Z,2026-07-01T12:55:00Z,5.2,0.7,18.20,2.80
D004,Bronx,2026-07-01T13:30:00Z,2026-07-01T13:48:00Z,10.8,1.3,31.20,5.70
D005,Brooklyn,2026-07-01T14:00:00Z,2026-07-01T13:58:00Z,7.6,0.8,19.20,3.90
D006,Queens,2026-07-01T14:30:00Z,2026-07-01T14:27:00Z,9.9,1.0,24.00,5.10
D007,Manhattan,2026-07-01T15:00:00Z,2026-07-01T15:06:00Z,4.8,0.8,20.80,2.50
D008,Bronx,2026-07-01T15:30:00Z,2026-07-01T15:54:00Z,11.7,1.4,33.60,6.00
D009,Brooklyn,2026-07-01T16:00:00Z,2026-07-01T15:49:00Z,6.9,0.8,19.20,3.50
D010,Queens,2026-07-01T16:30:00Z,2026-07-01T16:26:00Z,13.2,1.3,31.20,6.80
D011,Manhattan,2026-07-02T12:00:00Z,2026-07-02T11:57:00Z,5.7,0.7,18.20,2.90
D012,Bronx,2026-07-02T12:30:00Z,2026-07-02T12:44:00Z,9.6,1.1,26.40,5.00
D013,Brooklyn,2026-07-02T13:00:00Z,2026-07-02T13:03:00Z,8.1,1.0,24.00,4.10
D014,Queens,2026-07-02T13:30:00Z,2026-07-02T13:22:00Z,10.4,1.0,24.00,5.40
D015,Manhattan,2026-07-02T14:00:00Z,2026-07-02T13:51:00Z,4.2,0.6,15.60,2.20
D016,Bronx,2026-07-02T14:30:00Z,2026-07-02T14:59:00Z,12.4,1.5,36.00,6.40
D017,Brooklyn,2026-07-02T15:00:00Z,2026-07-02T14:56:00Z,7.3,0.8,19.20,3.80
D018,Queens,2026-07-02T15:30:00Z,2026-07-02T15:37:00Z,11.5,1.2,28.80,5.90
D019,Manhattan,2026-07-02T16:00:00Z,2026-07-02T15:58:00Z,6.1,0.8,20.80,3.10
D020,Bronx,2026-07-02T16:30:00Z,2026-07-02T16:51:00Z,10.9,1.3,31.20,5.60
